Timestamp_us,Voltage_uV,Current_uA,Power_W
3100933020086,4186000,-1872656,7.838938
3100933120752,4186000,-1872656,7.838938
3100933221071,4186000,-1872656,7.838938
3100933321496,4186000,-2192968,9.179764
3100933422054,4186000,-2192968,9.179764
3100933522445,4186000,-2192968,9.179764
3100933622860,4186000,-2266406,9.487176
3100933723268,4186000,-2266406,9.487176
3100933823684,4186000,-2266406,9.487176
3100933923982,4186000,-2266406,9.487176
3100934024332,4186000,-2503906,10.481351
3100934124672,4186000,-2503906,10.481351
3100934225064,4186000,-2503906,10.481351
3100934325387,4186000,-2667968,11.168114
3100934425699,4186000,-2667968,11.168114
3100934526001,4186000,-2667968,11.168114
3100934626311,4186000,-2667968,11.168114
3100934726634,4186000,-2235156,9.356363
3100934827132,4186000,-2235156,9.356363
3100934927598,4186000,-2235156,9.356363
3100935028116,4186000,-3100000,12.976600
3100935128460,4186000,-3100000,12.976600
3100935303998,4077000,-3100000,12.638700
3100935404396,4077000,-3585156,14.616681
3100935504812,4077000,-3585156,14.616681
3100935605195,4077000,-3585156,14.616681
3100935705708,4077000,-2735937,11.154415
3100935806192,4077000,-2735937,11.154415
3100935906751,4077000,-2735937,11.154415
3100936007190,4077000,-2735937,11.154415
3100936107669,4077000,-2767187,11.281821
